pair_id,l15_mlp_recovery,l24_resid_recovery,delta_g
N-admiration-d1-c3,-3.184697270697523,70.84916463400445,74.03386190470198
N-amazement-d1-c3,1.8678510388507874,57.364893523802394,55.497042484951606
N-amazement-d2-c3,-12.690242460333545,61.182316455938526,73.87255891627207
N-amazement-d6-c2,2.641066729921282,7.495422730924806,4.854356001003524
N-grief-d1-c4,-8.158955161253822,47.21665595763379,55.37561111888761
N-grief-d3-c3,2.5944267653090325,44.92495063749836,42.33052387218933
N-grief-d5-c3,13.553171402174124,60.03003315462432,46.4768617524502
N-loathing-d1-c3,1.8237376852312526,72.64353245724111,70.81979477200986
N-loathing-d2-c1,-4.255799442211483,56.463906825628165,60.71970626783965
N-rage-d1-c4,1.6898913269384641,61.21759486216869,59.52770353523022
N-rage-d2-c3,2.026165432003113,66.93065662923759,64.90449119723448
N-rage-d4-c4,17.107906342598323,20.738418634345713,3.63051229174739
N-rage-d5-c1,-8.36828860319887,78.45838246398138,86.82667106718026
N-rage-d6-c2,-4.647039292781963,64.23854286789066,68.88558216067263
N-terror-d1-c2,-5.895317125915378,35.58749775744183,41.48281488335721
N-terror-d4-c1,-0.2631016734695901,65.21558145392632,65.47868312739591
N-terror-d5-c3,2.2079175617101265,74.76441926204038,72.55650170033024
N-terror-d5-c4,-4.515632648274415,12.17510606650527,16.690738714779684
N-terror-d6-c3,-0.5404905855867836,1.1617372758387035,1.702227861425487
N-vigilance-d4-c4,3.9626657857302905,11.68820593772626,7.725540151995968
N-vigilance-d6-c2,-2.7151939236695233,36.07893554129687,38.794129464966396
N-admiration-d4-c4,-3.281884410623337,37.03269184720489,40.31457625782822
N-admiration-d5-c1,-9.713542596016156,47.846684409600414,57.56022700561657
N-admiration-d5-c4,6.927009546309904,71.7633254490418,64.8363159027319
N-amazement-d1-c1,1.8969745734352172,49.33025393175819,47.43327935832298
N-amazement-d2-c4,2.8072992311858225,70.66593494510589,67.85863571392007
N-amazement-d4-c3,4.404093634539286,76.1405338763539,71.73644024181462
N-amazement-d5-c3,2.6456437662823906,25.781162906956588,23.135519140674198
N-ecstasy-d2-c4,-1.2166256528924668,58.960662677840645,60.17728833073311
N-ecstasy-d5-c2,-19.688500343629766,67.04278933328327,86.73128967691304
N-ecstasy-d6-c1,0.8396329654591028,73.25424510961122,72.41461214415212
N-grief-d2-c1,-4.480758032440724,66.98548264332015,71.46624067576087
N-grief-d4-c2,10.052537299679997,33.71029092505029,23.65775362537029
N-loathing-d4-c2,-7.982382648983233,64.05725379785908,72.03963644684231
N-loathing-d5-c1,2.8257180316413,86.07386735775215,83.24814932611085
N-loathing-d5-c2,13.013365081694017,76.39426609602333,63.38090101432931
N-loathing-d5-c4,4.521588551287592,74.74759759260733,70.22600904131974
N-terror-d4-c4,-4.7087423920952665,81.3701812765091,86.07892366860436
N-vigilance-d4-c3,6.400366767143051,57.70308237887776,51.30271561173471
