layer,component,is_confirmatory,mean_probe_necessity,mean_neutralization_ratio,mean_neutral_mean_control,mean_matched_substitution,z_score_iso,p_value_iso,null_mu_iso,null_sig_iso,z_score_perp,p_value_perp,null_mu_perp,null_sig_perp,model_name,fdr_q_iso,fdr_sig_iso,fdr_q_perp,fdr_sig_perp
0,mlp,False,0.0077760665098166,-0.13940585964512348,0.008402936413305803,0.008074671974867333,0.9861442104166387,0.23809523809523808,0.007168401660598291,0.0006162028259148583,0.6035337638074593,0.38095238095238093,0.007370783233834647,0.000671517154939567,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
0,attn,False,0.007462524818691142,-1.8116981957744482,0.007915466685549644,0.008514700751432814,0.45198949666935584,0.42857142857142855,0.007181429594780399,0.0006219065398246908,0.09719405860827764,0.47619047619047616,0.0073923759145204295,0.0007217406616739212,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
0,resid,False,0.008239218153194857,-2.8254996363037685,0.008124694865006884,0.00908091619382256,1.1047807432700292,0.19047619047619047,0.0075431362014881705,0.0006300634365207716,1.1463930257744999,0.23809523809523808,0.007518883405666121,0.0006283488570964398,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
1,mlp,False,0.0071859953224043555,-2.0141662124371127,0.007855882677455059,0.007602752558227401,-0.6015825360241956,0.7142857142857143,0.007550138568609782,0.0006053088718499315,-0.017266777757048136,0.5714285714285714,0.007196369808135847,0.0006008350763220049,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
1,attn,False,0.007822402951250253,-1.8240156214195058,0.008947480711201149,0.00780063416012357,0.90265812870641,0.19047619047619047,0.007345898699940108,0.0005278900573277047,1.3146173912404813,0.14285714285714285,0.0071721415072614715,0.0004946393135535738,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
1,resid,False,0.0073586855317152,-1.8736647046071297,0.009296700929497937,0.008972993411008493,0.4294909713288187,0.42857142857142855,0.007156404686437155,0.0004709781084622107,0.27332161825852147,0.42857142857142855,0.007206520117307919,0.0005567265969549302,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
2,mlp,False,0.00769741923387525,-1.9456413037852531,0.009095915640664778,0.008654756591919336,0.7434946986888019,0.23809523809523808,0.00725977352946104,0.0005886332547979499,0.9416403243502032,0.19047619047619047,0.007260532577970322,0.0004639634100275075,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
2,attn,False,0.007440929963824424,-0.7218750121617139,0.010458735806756854,0.008180949091304197,0.3424845717078282,0.3333333333333333,0.007266724107080956,0.0005086531515121275,-0.11303808859637361,0.6666666666666666,0.007500770704186347,0.000529385635452463,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.875,False
2,resid,False,0.007363490698264987,0.23723299319107863,0.008059317697393204,0.008335877482473542,0.14872581546309283,0.42857142857142855,0.00727549180431771,0.0005916854022502534,0.18811640116023082,0.38095238095238093,0.007264068628384334,0.0005285135653640767,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
3,mlp,False,0.007328782592631327,-0.9416210138945114,0.011224533521974693,0.009568928681370282,0.12932111873844238,0.42857142857142855,0.007257592169763234,0.0005504934040361833,-0.21619096563861437,0.6666666666666666,0.007467591962050313,0.0006420683168186606,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.875,False
3,attn,False,0.006467226935167334,-1.4907551774667203,0.007342285061506459,0.008239797311759474,-1.6551426779202814,0.9523809523809523,0.007311167020272009,0.0005098896284670168,-1.3212936869332952,0.8571428571428571,0.007294067843551635,0.0006257813206565666,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9863013698630136,False
3,resid,False,0.007851306665977806,-2.0578462172007104,0.012332422409238902,0.011077330034780886,0.8262485245427404,0.23809523809523808,0.007375126710876335,0.0005763156495377671,1.058371504909416,0.19047619047619047,0.007257812132651194,0.0005607620108568673,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
4,mlp,False,0.006508121128542169,-1.1808861238109516,0.01052192937565122,0.009735634587079588,-1.9014985187402331,1.0,0.007353977031716742,0.000444836477566632,-1.6814119680498398,0.9047619047619048,0.00738244898759458,0.0005199962148874716,Qwen/Qwen2.5-1.5B-Instruct,1.0,False,0.987012987012987,False
4,attn,False,0.006999703147190179,-1.2555903161317912,0.008946277213713428,0.008165736602743383,-0.20230700347127958,0.5714285714285714,0.007128365032626838,0.0006359734622579426,-0.1630294678430195,0.5238095238095238,0.007082001078435626,0.0005048040230658898,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
4,resid,False,0.007551726243847406,-2.57516756862247,0.010838539497239948,0.009391990694003741,1.0740214915463069,0.19047619047619047,0.007152214254590268,0.00037197764886617526,0.33297660229574394,0.38095238095238093,0.007340393629209049,0.0006346770709452271,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
5,mlp,False,0.007219980981239191,-3.272676575093305,0.011186842673569489,0.008994244127976841,0.011050566143644388,0.5714285714285714,0.007212669513345196,0.000661637403817522,0.1667332185785675,0.47619047619047616,0.007152943437138891,0.00040206471554863043,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
5,attn,False,0.0075521851128790025,-3.1226705572511078,0.009061928648195269,0.008410852716400017,0.7670155545111434,0.23809523809523808,0.00713508063241719,0.0005438018538328777,0.6896497282686403,0.2857142857142857,0.0071091881189025,0.0006423507119891759,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
5,resid,False,0.007008985494486074,-1.0955790637442628,0.010911796212067872,0.008711321572625727,-0.3941888772314793,0.7619047619047619,0.00723321063549041,0.0005688266563459222,-0.1419151494929286,0.5238095238095238,0.007108062097602089,0.000698139722714744,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
6,mlp,False,0.008157390352411649,-2.5119475134744507,0.008448115247252393,0.00907083136185126,1.6474140608026635,0.047619047619047616,0.007183193387558245,0.000591349186602638,2.1290343618035634,0.047619047619047616,0.007125162209492708,0.0004848339516909029,Qwen/Qwen2.5-1.5B-Instruct,0.927536231884058,False,0.8571428571428571,False
6,attn,False,0.006793962447675031,-1.5271756504612608,0.008963832489424776,0.008230154515452538,-1.0162108623718016,0.8571428571428571,0.007161636312932029,0.00036180863526577496,-1.0536369654483133,0.8095238095238095,0.007176206529738648,0.00036278537541721036,Qwen/Qwen2.5-1.5B-Instruct,0.9876543209876543,False,0.9714285714285714,False
